150.0000,1.5001,1.5164,1.5409,1.5867,1.6307,1.6638,1.6748
155.0000,1.5076,1.5200,1.5478,1.5920,1.6378,1.6687,1.6822
160.0000,1.5111,1.5270,1.5521,1.5994,1.6420,1.6780,1.6820
165.0000,1.5152,1.5331,1.5579,1.6051,1.6493,1.6817,1.6922
170.0000,1.5234,1.5367,1.5651,1.6104,1.6565,1.6863,1.6997
175.0000,1.5282,1.5431,1.5701,1.6176,1.6608,1.6953,1.6998
180.0000,1.5307,1.5506,1.5752,1.6240,1.6672,1.6999,1.7084
185.0000,1.5396,1.5542,1.5826,1.6293,1.6744,1.7042,1.7156
190.0000,1.5451,1.5605,1.5880,1.6364,1.6787,1.7129,1.7147
195.0000,1.5499,1.5664,1.5944,1.6420,1.6859,1.7159,1.7256
200.0000,1.5505,1.5749,1.5992,1.6488,1.6915,1.7212,1.7320
205.0000,1.5620,1.5783,1.6062,1.6553,1.6957,1.7304,1.7290
210.0000,1.5672,1.5845,1.6126,1.6609,1.7026,1.7334,1.7389
215.0000,1.5666,1.5937,1.6174,1.6674,1.7087,1.7370,1.7472
220.0000,1.5792,1.5970,1.6245,1.6737,1.7128,1.7457,1.7443
225.0000,1.5848,1.6032,1.6309,1.6792,1.7194,1.7486,1.7537
230.0000,1.5898,1.6094,1.6373,1.6848,1.7255,1.7522,1.7603
270.0000,1.6401,1.6584,1.6858,1.7306,1.7641,1.7897,1.7929
275.0000,1.6452,1.6648,1.6916,1.7358,1.7688,1.7932,1.7983
280.0000,1.6541,1.6688,1.6988,1.7400,1.7743,1.7962,1.8034
285.0000,1.6589,1.6760,1.7034,1.7461,1.7767,1.8038,1.8001
290.0000,1.6628,1.6829,1.7091,1.7505,1.7825,1.8047,1.8092
295.0000,1.6719,1.6867,1.7161,1.7543,1.7880,1.8070,1.8145
300.0000,1.6773,1.6932,1.7207,1.7600,1.7904,1.8138,1.8119
305.0000,1.6807,1.7005,1.7254,1.7648,1.7948,1.8161,1.8178
310.0000,1.6897,1.7041,1.7320,1.7684,1.8001,1.8175,1.8232
315.0000,1.6949,1.7106,1.7362,1.7740,1.8021,1.8240,1.8196
320.0000,1.6988,1.7171,1.7409,1.7783,1.8068,1.8247,1.8282
325.0000,1.6985,1.7258,1.7441,1.7836,1.8098,1.8279,1.8314
330.0000,1.7112,1.7280,1.7500,1.7882,1.8115,1.8349,1.8249
335.0000,1.7167,1.7329,1.7553,1.7917,1.8163,1.8348,1.8330
340.0000,1.7186,1.7393,1.7597,1.7957,1.8204,1.8356,1.8386
345.0000,1.7283,1.7422,1.7651,1.8000,1.8219,1.8419,1.8323
350.0000,1.7314,1.7483,1.7694,1.8035,1.8260,1.8415,1.8400
355.0000,1.7358,1.7532,1.7741,1.8070,1.8296,1.8425,1.8436
360.0000,1.7443,1.7556,1.7802,1.8096,1.8335,1.8429,1.8470
365.0000,1.7460,1.7628,1.7827,1.8145,1.8342,1.8476,1.8443
370.0000,1.7483,1.7688,1.7865,1.8179,1.8373,1.8474,1.8498
375.0000,1.7579,1.7707,1.7921,1.8204,1.8401,1.8487,1.8517
380.0000,1.7623,1.7757,1.7954,1.8246,1.8405,1.8531,1.8486
385.0000,1.7626,1.7824,1.7983,1.8280,1.8426,1.8537,1.8524
390.0000,1.7719,1.7837,1.8039,1.8297,1.8459,1.8532,1.8562
395.0000,1.7748,1.7894,1.8064,1.8335,1.8459,1.8574,1.8532
400.0000,1.7778,1.7941,1.8098,1.8361,1.8478,1.8580,1.8562
405.0000,1.7854,1.7958,1.8149,1.8375,1.8504,1.8581,1.8587
410.0000,1.7887,1.8005,1.8174,1.8408,1.8500,1.8629,1.8527
415.0000,1.7901,1.8054,1.8205,1.8424,1.8529,1.8610,1.8597
420.0000,1.7973,1.8069,1.8252,1.8434,1.8554,1.8607,1.8628
425.0000,1.8004,1.8114,1.8271,1.8464,1.8548,1.8650,1.8580
430.0000,1.8019,1.8162,1.8293,1.8483,1.8565,1.8649,1.8622
435.0000,1.8087,1.8174,1.8334,1.8490,1.8589,1.8641,1.8660
440.0000,1.8113,1.8217,1.8347,1.8518,1.8580,1.8686,1.8608
445.0000,1.8124,1.8261,1.8365,1.8533,1.8597,1.8679,1.8672
450.0000,1.8103,1.8319,1.8372,1.8555,1.8604,1.8689,1.8700
455.0000,1.8208,1.8314,1.8404,1.8571,1.8597,1.8744,1.8626
460.0000,1.8238,1.8335,1.8430,1.8575,1.8623,1.8728,1.8709
465.0000,1.8224,1.8377,1.8443,1.8588,1.8639,1.8730,1.8757
470.0000,1.8299,1.8377,1.8468,1.8602,1.8633,1.8787,1.8693
475.0000,1.8305,1.8410,1.8483,1.8609,1.8658,1.8777,1.8782
480.0000,1.8318,1.8434,1.8501,1.8616,1.8677,1.8785,1.8833
485.0000,1.8380,1.8429,1.8532,1.8615,1.8703,1.8793,1.8884
490.0000,1.8373,1.8470,1.8529,1.8639,1.8697,1.8848,1.8880
495.0000,1.8360,1.8506,1.8535,1.8650,1.8718,1.8862,1.8958
500.0000,1.8433,1.8494,1.8564,1.8651,1.8744,1.8886,1.9024
505.0000,1.8445,1.8518,1.8566,1.8672,1.8745,1.8954,1.9039
510.0000,1.8428,1.8552,1.8569,1.8686,1.8768,1.8988,1.9140
515.0000,1.8492,1.8537,1.8596,1.8689,1.8799,1.9036,1.9224
520.0000,1.8489,1.8567,1.8593,1.8713,1.8806,1.9128,1.9256
525.0000,1.8487,1.8587,1.8602,1.8725,1.8843,1.9186,1.9374
530.0000,1.8537,1.8574,1.8629,1.8728,1.8892,1.9251,1.9486
535.0000,1.8543,1.8593,1.8631,1.8752,1.8915,1.9375,1.9520
540.0000,1.8528,1.8617,1.8639,1.8767,1.8974,1.9454,1.9647
545.0000,1.8574,1.8604,1.8669,1.8771,1.9049,1.9536,1.9766
